FPF,,24700
FPL,4.07,941000
FPLPRA,,
FPLPRB,,
FPRS,,
FPRT,,
FPT,5.58,17500
FR,9.45,217000
FRC,,30800
FRE,1.85,6941400
FREPRB,,
FREPRD,,
FREPRF,,
FREPRG,,
FREPRH,,
FREPRK,,
FREPRL,,
FREPRM,,
FREPRN,,
FREPRO,,
FREPRP,,
FREPRQ,,
FREPRR,,
FRF,,3800
FRK,1.12,45900
FRPRC,,
FRPRD,,
FRPRE,,
FRT,6.27,139500
FRTPRA,,
FRTPRB,,
FRX,,2489700
FSA,6.93,4600
FSB,6.52,9200
FSE,6.20,29100
FSH,,1033400
FSS,5.10,287100
FST,,597200
FT,10.15,25700
FTD,5.79,3800
FTI,,552100
FTN,2.97,875300
FTO,1.17,195800
FTS,,595600
FUL,1.89,83100
FUN,7.03,65500
FUR,23.67,25200
FURPRA,,
FVB,2.76,132600
FWC,,148200
FWCPRA,,
FWJ,7.03,3000
G,2.04,2107200
GAB,15.34,172400
GABPR,,
GABPRB,,
GAM,0.24,19900
GAMPR,,
GAP,,39200
GAS,6.44,202800
GB,,308600
GBL,,237100
GBLPRI,,
GBM,5.65,705200
GBP,9.01,96200
GBPPRA,,
GCH,0.47,16000
GCI,1.29,1053700
GCO,,271800
GCV,8.09,16200
GCVPR,,
GD,2.30,2621600
GDF,11.30,16100
GDI,,33700
GDP,,5400
GDT,0.89,1305000
GDW,0.46,545100
GE,2.74,20398900
GEA,6.23,76800
GEC,5.92,89900
GEF,2.99,35200
GEF.B,2.99,0
GEG,,142300
GER,0.22,27000
GES,,9900
GET,,25200
GF,,74000
GFF,,65900
GFR,0.64,2500
GGC,1.46,164800
GGG,1.14,94500
GGP,5.30,248000
GGPPRA,,
GGT,,7500
GGTPR,,
GHI,10.69,48400
GI,,23800
GIM,6.19,219400
GIS,2.39,1279600
GJM,7.39,64400
GL,11.17,115400
GLB,10.78,101100
GLBPRA,,
GLK,1.54,296200
GLPRA,,
GLRPRA,,
GLRPRB,,
GLT,6.35,49100
GLW,,9309600
GM,5.54,8694300
GMA,7.33,39200
GME,,88400
GMH,,7601200
GMP,3.69,11100
GMR,,54300
GMT,8.38,1075000
GMTPR,,
GMW,7.35,33700
GNI,8.56,1200
GOT,,7000
GP,3.48,991500
GPB,6.47,10300
GPC,3.70,363000
GPD,6.88,3600
GPEPRA,,
GPEPRW,,
GPF,6.28,3200
GPI,,329900
GPK,,74600
GPN,0.50,315500
GPS,0.55,6979300
GPT,2.64,653200
GPX,,64300
GR,5.63,468300
GRA,,79400
GRB,,19500
GRD,6.96,800
GRH,7.09,700
GRK,6.92,6300
GRMPRA,,
GRO,,
GRP,,1156000
GRPRA,,
GRR,,5900
GRT,9.31,105100
GRTPRB,,
GS,0.64,6723400
GSB,,
GSE,,22900
GSUPRB,,
GSUPRD,,
GSUPRE,,
GSUPRG,,
GT,,1965100
GTI,,106900
GTK,,605600
GTN,0.89,177800
GTN.A,,
GTW,,1883800
GTY,8.30,45000
GTYPRA,,
GTY.T,,
GUPPRB,,
GUPPRC,,
GUT,6.76,48700
GVA,2.36,100400
GVT,4.50,54300
GWR,,159000
GWW,1.57,555900
GXM,4.64,602800
GXP,6.70,214000
GXPPRA,,
GXPPRD,,
GXPPRE,,
GY,1.63,185900
GYI,,285100
HAE,,31200
HAL,2.31,4241300
HAR,0.16,455300
HAS,0.81,1086200
HAT,5.66,2400
HB,2.03,114800
HBCPR,,
HBG,1.45,15300
HBP,,21000
HC,,425900
HCA,0.22,44981000
HCC,0.98,155000
HCN,8.44,159800
HCNPRB,,
HCP,9.58,360100
HCPPRA,,
HCPPRB,,
HCPPRC,,
HCR,,1523900
HD,0.90,12118600
HDI,0.33,2717100
HDL,,122100
HE,6.12,90300
HEI,0.58,24300
HEI.A,,
HEPRQ,,
HEPRS,,
HEPRT,,
HET,,732100
HEW,,98200
HFPRM,,
HGM,7.36,49700
HGR,,196700
HGT,13.71,49800
HHS,0.66,120600
HI,3.54,99512896
HIB,3.44,539200
HIF,8.59,5400
HIG,2.73,1649800
HIGPRA,,
HIGPRC,,
HIGPRQ,,
HIO,9.65,179400
HIPRE,,
HIPRF,,
HIPRG,,
HIPRH,,
HIPRM,,
HIPRN,,
HIPRO,,
HIPRP,,
HIPRS,,
HIPRT,,
HIPRV,,
HIPRX,,
HIPRZ,,
HIS,10.26,46100
HIW,11.11,165700
HIWPRB,,
HIWPRD,,
HIX,12.23,155200
HKF,2.77,116100
HL,,686600
HLIPRA,,
HLIPRB,,
HLN,7.97,9100
HLPRB,,
HLR,2.29,184600
HLT,0.62,2168600
HMA,0.41,5266800
HME,7.13,59600
HMEPRF,,
HMN,3.06,102900
HMT,,1215700
HMTPRA,,
HMTPRB,,
HMTPRC,,
HMX,,5000
HNI,1.79,111500
HNR,,48700
HNT,,550600
HNZ,3.59,1076900
HNZPR,,
HON,3.35,3432900
HOT,3.32,1376000
