"Ticker symbol","div_yield","volume","notes"
"GOOG",,10246338,
"LTR",,,
"LDG",,,
"LRCX",,5980720,
"MYGN",,2168425,
"CRGN",,330100,
"ICGE",,377715,
"INTL",,,
"JP",,,
"N",,288659,
"INCY",,2507075,
"IPG",,14565985,
"EDS",,0,
"HDI",,,
"AW",,6261878,
"RIMM",,31466168,
"INTU",,7322950,
