CMSPRK,,
CMSPRL,,
CMSPRM,,
CMSPRN,,
CMU,7.86,40000
CMV,7.30,4900
CMX,,1477900
CNA,,138500
CNB,4.14,215900
CNBPRA,,
CNF,1.17,171200
CNFPRT,,
CNJ,,6000
CNL,5.70,245400
CNN,10.40,6500
CNO,,
CNP,7.71,866000
CNPPRA,,
CNPPRC,,
CNPWI,,
CNT,4.37,32000
CNTPRA,,
CNX,3.30,219300
COA,1.49,58800
COE,,97200
COF,0.30,9584300
COFPRC,,
COG,0.67,102700
COH,,680900
COL,1.64,617800
COO,0.24,482100
COP,3.32,1725600
COX,,1509700
COY,12.52,98400
CPB,2.54,1799100
CPC,0.34,56000
CPE,,90600
CPEPRA,,
CPF,1.47,22600
CPG,6.03,336200
CPJ,10.01,82800
CPK,5.68,1900
CPN,,7329400
CPO,1.30,176400
CPP,7.94,200
CPRF,,
CPRG,,
CPRH,,
CPRM,,
CPRN,,
CPRQ,,
CPRR,,
CPRV,,
CPRW,,
CPRX,,
CPRZ,,
CPS,,131500
CPT,7.80,158400
CPV,7.56,9200
CPY,3.90,7600
CPZPRA,,
CQB,,219200
CQBWS,,
CR,1.99,181800
CRA,,1140900
CRC,,0
CRDA,,
CRDB,,
CRE,8.31,303200
CREPRB,,
CREPRC,,
CREPRD,,
CRF,16.57,12000
CRH,7.36,2200
CRK,,45300
CRL,,625700
CRN,,19000
CRO,,19100
CRR,1.08,16600
CRS,2.62,57800
CRT,11.77,11600
CRY,,203800
CSC,,1194500
CSDPRA,,
CSK,4.99,28800
CSL,1.98,129000
CSP,8.68,22000
CSS,,2300
CSU,,3800
CSV,,42500
CSX,1.37,1150100
CT,,0
CTA,3.11,37500
CTB,2.73,410700
CTG,,3800
CTI,,15000
CTL,0.68,1155900
CTLPRA,,
CTR,2.95,127700
CTS,1.50,94600
CTV,,260800
CTX,0.30,795000
CUM,4.30,476400
CUR,,
CUZ,6.28,116500
CV,4.93,11500
CVB,2.79,10400
CVC,,1768500
CVD,,184900
CVEPR,,
CVEPRL,,
CVEPRU,,
CVG,,281200
CVH,,936800
CVI,7.65,300
CVS,0.90,1373300
CVT,7.03,36600
CVW,8.62,0
CVX,4.10,2502100
CW,0.96,8500
CW.B,0.96,0
CWEPRT,,
CWF,12.73,25100
CWN,9.01,42000
CWNPRA,,
CWT,4.40,47800
CWZ,10.87,500
CXE,8.03,20800
CXH,6.57,6700
CXP,0.56,24700
CXR,,169300
CXT,5.33,1600
CXW,,34600
CXWPRA,,
CXWPRB,,
CY,,879300
CYE,13.27,120400
CYF,8.22,500
CYG,8.75,600
CYH,,1334100
CYK,11.87,2100
CYN,1.70,193800
CYP,7.33,3500
CYR,7.85,3000
CYT,,99600
CZB,7.38,8100
CZN,,843300
CZNPR,,
D,4.66,1228600
DAB,,48800
DAL,0.78,1877900
DBD,1.61,318300
DCA,8.16,2100
DCI,0.96,161200
DCN,0.35,475500
DCO,,21700
DCP,8.69,68000
DCQ,6.76,14800
